Forca_Equivalente_uN	Deslocamento_script_um	Desvio_Padrao_um
167,19602050612247	1,5257615127211728	0,0847188425542229
167,19602050612247	1,423237273916354	0,10081185710970245
219,76349570612243	2,185506640054078	0,057896090001982654
219,76349570612243	1,9977216844821206	0,09998581312962104
324,3693912816326	2,9960000375033786	0,07785437182987949
324,3693912816326	2,401573254417534	0,06568608605840764
470,08736200272114	3,5189739630420265	0,12415216248666912
470,08736200272114	3,128133765737345	0,1001355470794617
481,8954652734694	4,728323381513613	0,09218229028524261
481,8954652734694	5,847511926572043	0,5436711886457491
486,3336474122449	5,0236660193102765	0,08652542680489857
486,3336474122449	4,471582365708118	0,06322730074100216
634,909877289796	5,803216918252013	0,0589699351167432
634,909877289796	6,101860402085155	0,18148414246878633
808,3663798857143	7,651419551723982	0,10690424291529421
808,3663798857143	7,245674717473794	0,10894271299596024
911,9951001251701	5,871157888343973	0,0955963767657098
911,9951001251701	5,362589192377063	0,1448660306277207
